City,Insurer,Q1,Q2,Q5a,Q8_1
JAIPUR,Tata AIG,7,,,8.0
JAIPUR,Tata AIG,9,,9.0,9.0
MUMBAI,ICICI Lombard,8,,9.0,8.0
CHENNAI,ACKO,9,10.0,,
CHENNAI,Go Digit,9,,,9.0
LUDHIANA,National Insurance,10,,,9.0
DELHI,HDFC Ergo,9,,9.0,9.0
MUMBAI,Bagic,10,,9.0,8.0
HYDERABAD,National Insurance,9,,9.0,9.0
AHMEDABAD,HDFC Ergo,9,,10.0,9.0
JAIPUR,ICICI Lombard,9,10.0,9.0,
JAIPUR,Tata AIG,10,9.0,,
PUNE,National Insurance,8,,8.0,6.0
DELHI,New India,8,,,8.0
BANGALORE,National Insurance,9,,,9.0
HYDERABAD,ICICI Lombard,9,10.0,,
CHENNAI,ACKO,10,,,9.0
JAIPUR,National Insurance,8,,8.0,6.0
INDORE,HDFC Ergo,9,,7.0,9.0
MUMBAI,ACKO,9,,,9.0
INDORE,Tata AIG,10,10.0,,
LUDHIANA,National Insurance,9,,,9.0
HYDERABAD,HDFC Ergo,9,,,9.0
DELHI,ACKO,10,,,9.0
BANGALORE,HDFC Ergo,7,,,6.0
INDORE,ACKO,9,,,9.0
PUNE,ICICI Lombard,10,,9.0,8.0
HYDERABAD,Bagic,7,,,9.0
AHMEDABAD,ICICI Lombard,10,,,10.0
PUNE,Bagic,3,,2.0,2.0
BANGALORE,Go Digit,9,,,10.0
KANPUR,Bagic,9,,9.0,9.0
AHMEDABAD,Bagic,7,,8.0,10.0
MUMBAI,New India,10,9.0,9.0,
KOLKATA,ACKO,7,,,8.0
HYDERABAD,Bagic,10,,,9.0
BANGALORE,HDFC Ergo,2,,3.0,4.0
KANPUR,ACKO,7,,8.0,6.0
AHMEDABAD,ICICI Lombard,9,10.0,,
JAIPUR,Bagic,9,,9.0,9.0
PUNE,Bagic,10,,9.0,9.0
KOLKATA,ICICI Lombard,9,,10.0,10.0
